                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 2.1634,                 2.8258,                 1.9128,                0.23728,                0.27344,                0.15436,                 0.0457,                 2.2467,                 2.9487,                 2.0065,               0.006766,               0.006766,               0.006766
                     52,                 2.2077,                 2.9116,                 1.9403,                0.25942,                0.20156,                0.13026,                0.03245,                 2.3839,                 3.1195,                 2.0502,                 0.0067,                 0.0067,                 0.0067
                     53,                 2.2077,                 2.7209,                 1.8898,                0.29456,                0.20938,                0.12957,                0.03636,                 2.3491,                 3.0456,                 2.0437,               0.006634,               0.006634,               0.006634
                     54,                 2.4116,                 3.1088,                 2.0979,                0.18354,                0.14256,                0.11187,                0.03405,                 2.3411,                 3.0431,                 2.1175,               0.006568,               0.006568,               0.006568
                     55,                 2.3207,                 2.9831,                 1.9953,                0.18793,                0.20689,                0.13039,                0.03789,                 2.3239,                  2.846,                 2.1452,               0.006502,               0.006502,               0.006502
                     56,                 2.2417,                 2.9336,                 2.0173,                0.61032,                  0.125,                0.12987,                0.03859,                 2.2688,                 2.8977,                  2.113,               0.006436,               0.006436,               0.006436
                     57,                 2.1852,                 2.8984,                  1.978,                0.24466,                0.19219,                0.16989,                0.05221,                 2.2359,                 2.8463,                 2.0888,                0.00637,                0.00637,                0.00637
                     58,                 2.0853,                 2.8864,                 1.9313,                0.10748,                0.14062,                0.13239,                0.04551,                 2.2354,                 2.8443,                 2.0532,               0.006304,               0.006304,               0.006304
                     59,                 2.2142,                 2.7426,                 1.9862,                0.24004,                0.21406,                0.16319,                0.05809,                 2.1612,                 2.9994,                 1.9835,               0.006238,               0.006238,               0.006238
                     60,                 2.1387,                 2.8022,                  1.911,                0.16792,                0.16562,                 0.1331,                0.04973,                 2.2374,                 3.2378,                 2.0341,               0.006172,               0.006172,               0.006172
                     61,                 2.1982,                 2.7613,                 1.9536,                0.18352,                0.22344,                0.13431,                0.04529,                 2.2624,                 3.1703,                 2.0314,               0.006106,               0.006106,               0.006106
                     62,                 2.1323,                 2.5864,                 1.9091,                0.17896,                0.23906,                0.14522,                0.05048,                 2.2564,                 2.9962,                 2.0307,                0.00604,                0.00604,                0.00604
                     63,                 2.0541,                 2.7542,                 1.8986,                 0.2226,                0.19817,                 0.1515,                0.04669,                 2.3422,                 2.9009,                 2.1025,               0.005974,               0.005974,               0.005974
                     64,                 2.1219,                 2.6896,                 1.9409,                0.30016,                0.23125,                0.17145,                0.05269,                 2.2587,                  2.992,                 2.0594,               0.005908,               0.005908,               0.005908
                     65,                 2.0914,                 2.6105,                  1.916,                 0.2356,                0.28201,                0.17577,                0.05699,                 2.1985,                 2.8994,                 1.9972,               0.005842,               0.005842,               0.005842
                     66,                 2.1799,                 2.7257,                 1.9366,                0.23321,                0.23906,                0.14128,                0.04455,                 2.1782,                 2.8758,                 2.0075,               0.005776,               0.005776,               0.005776
                     67,                 2.1387,                 2.7689,                 1.9028,                0.18426,                0.20625,                0.12046,                0.04346,                 2.2496,                 2.8841,                 2.0515,                0.00571,                0.00571,                0.00571
                     68,                 2.1898,                 2.8408,                 1.9612,                0.25947,                0.18281,                0.12889,                0.04162,                 2.2407,                 2.9026,                 2.0736,               0.005644,               0.005644,               0.005644
                     69,                 2.2076,                 2.6822,                 2.0028,                0.19715,                0.19209,                0.15702,                0.04184,                 2.2814,                 2.8376,                 2.1218,               0.005578,               0.005578,               0.005578
                     70,                 2.1863,                 2.8682,                 1.9474,                0.24628,                0.16705,                0.11888,                0.03763,                 2.2851,                  3.012,                 2.1472,               0.005512,               0.005512,               0.005512
                     71,                 2.1869,                 2.7273,                 1.9931,                 0.2469,                0.30156,                0.17755,                0.05267,                 2.2794,                 2.8812,                 2.1461,               0.005446,               0.005446,               0.005446
                     72,                 2.1613,                 2.5216,                 1.9471,                  0.263,                 0.2375,                0.19169,                 0.0581,                 2.3066,                 2.9547,                 2.1899,                0.00538,                0.00538,                0.00538
                     73,                 2.0571,                 2.5993,                 1.8903,                0.34425,                0.27031,                0.21937,                0.06269,                 2.3194,                  2.722,                 2.1665,               0.005314,               0.005314,               0.005314
                     74,                  2.141,                 2.7186,                 1.9407,                0.34537,                0.29134,                 0.2434,                0.06116,                 2.2267,                 2.7169,                 2.1022,               0.005248,               0.005248,               0.005248
                     75,                 1.9988,                 2.5679,                 1.8597,                0.25356,                 0.2375,                0.19032,                0.06119,                 2.2001,                 2.7819,                 2.0541,               0.005182,               0.005182,               0.005182
                     76,                 2.0877,                 2.8069,                 1.9634,                0.22157,                0.27656,                0.18304,                0.05417,                 2.2259,                 2.7611,                  2.063,               0.005116,               0.005116,               0.005116
                     77,                 2.1202,                  2.516,                 1.9094,                0.21492,                0.22812,                0.19812,                0.05258,                 2.2023,                 2.5729,                  2.076,                0.00505,                0.00505,                0.00505
                     78,                 2.0588,                 2.4897,                 1.9288,                0.21491,                0.29658,                0.18741,                 0.0513,                 2.2067,                 2.6252,                 2.0994,               0.004984,               0.004984,               0.004984
                     79,                 2.1542,                 2.6986,                 1.9813,                0.20016,                0.29322,                0.15838,                0.04832,                  2.257,                 2.6603,                 2.1414,               0.004918,               0.004918,               0.004918
                     80,                 2.0909,                 2.6806,                 1.9288,                0.19184,                0.21288,                0.16588,                0.04627,                  2.269,                 2.6355,                 2.1209,               0.004852,               0.004852,               0.004852
                     81,                 2.1158,                 2.4782,                 1.8521,                0.40679,                0.15937,                0.19604,                0.05528,                 2.2277,                 2.6954,                 2.0479,               0.004786,               0.004786,               0.004786
                     82,                 2.0513,                 2.5967,                 1.8526,                0.22757,                0.21406,                0.17028,                0.05503,                  2.164,                 2.7915,                 2.0297,                0.00472,                0.00472,                0.00472
                     83,                 2.1232,                 2.5127,                 1.9064,                0.26836,                0.15937,                0.17816,                0.05865,                 2.1157,                 2.7435,                 2.0662,               0.004654,               0.004654,               0.004654
                     84,                 2.0455,                 2.5762,                 1.8772,                0.38711,                0.20625,                0.21658,                0.06585,                 2.1632,                 2.5993,                 2.1066,               0.004588,               0.004588,               0.004588
                     85,                 2.0512,                 2.5331,                 1.8599,                0.40049,                 0.2338,                 0.2078,                0.06772,                 2.1931,                 2.5662,                 2.1165,               0.004522,               0.004522,               0.004522
                     86,                 2.1222,                 2.5547,                 1.9479,                0.29486,                0.20469,                 0.1703,                 0.0584,                 2.2726,                 2.6806,                  2.137,               0.004456,               0.004456,               0.004456
                     87,                 2.0646,                 2.4295,                 1.8447,                0.46756,                0.17344,                0.16975,                0.06345,                 2.2593,                  2.697,                 2.1067,                0.00439,                0.00439,                0.00439
                     88,                 2.0282,                 2.5778,                 1.8366,                0.20168,                0.18125,                0.16697,                0.06189,                  2.184,                 2.6899,                 2.0124,               0.004324,               0.004324,               0.004324
                     89,                 1.9954,                 2.4745,                 1.7879,                0.18775,                0.24822,                0.16801,                0.06613,                 2.1571,                 2.6423,                 2.0315,               0.004258,               0.004258,               0.004258
                     90,                  2.043,                 2.4548,                 1.8382,                0.14895,                0.18906,                0.13909,                0.04946,                  2.154,                 2.7216,                 2.0418,               0.004192,               0.004192,               0.004192
                     91,                 1.9919,                 2.4756,                 1.7574,                0.14296,                0.18281,                0.13698,                 0.0445,                 2.2042,                  2.758,                 2.0763,               0.004126,               0.004126,               0.004126
                     92,                 2.0029,                 2.3558,                 1.7861,                0.18072,                0.19062,                0.14041,                 0.0485,                 2.2162,                 2.7452,                 2.1024,                0.00406,                0.00406,                0.00406
                     93,                 2.0212,                  2.399,                 1.8356,                0.14578,                0.18281,                0.12091,                0.04086,                 2.2113,                 2.8508,                 2.1077,               0.003994,               0.003994,               0.003994
                     94,                 2.0185,                 2.3859,                 1.8181,                0.18889,                0.20625,                 0.1409,                 0.0471,                 2.2097,                 2.7051,                  2.093,               0.003928,               0.003928,               0.003928
                     95,                 2.0281,                 2.5004,                 1.7903,                0.21291,                0.24928,                0.19269,                0.05895,                  2.258,                 2.5886,                 2.1432,               0.003862,               0.003862,               0.003862
                     96,                 1.9726,                 2.4474,                 1.7897,                0.20979,                0.29688,                0.18336,                0.05345,                 2.2337,                 2.6781,                 2.0905,               0.003796,               0.003796,               0.003796
                     97,                 1.9326,                 2.3609,                 1.7586,                0.19314,                0.25469,                0.17886,                0.05554,                 2.2259,                 2.6064,                 2.0683,                0.00373,                0.00373,                0.00373
                     98,                 1.9549,                 2.3735,                 1.7907,                 0.2126,                0.26875,                0.18841,                0.05647,                 2.1831,                 2.5733,                 2.0221,               0.003664,               0.003664,               0.003664
                     99,                 1.9943,                   2.29,                 1.7846,                0.20058,                0.29219,                0.18737,                0.05872,                 2.1757,                 2.5416,                 2.0103,               0.003598,               0.003598,               0.003598
                    100,                 1.9696,                 2.3861,                 1.7385,                0.22893,                 0.3283,                0.19819,                 0.0632,                 2.1528,                 2.5053,                 1.9965,               0.003532,               0.003532,               0.003532
                    101,                 2.0662,                 2.4162,                 1.8317,                0.23087,                 0.3701,                0.21162,                0.06695,                 2.1682,                 2.4923,                 1.9677,               0.003466,               0.003466,               0.003466
                    102,                 2.0258,                 2.4982,                 1.8518,                 0.2339,                0.27969,                0.20355,                0.06282,                 2.1799,                 2.5541,                 1.9833,                 0.0034,                 0.0034,                 0.0034
                    103,                 1.9251,                 2.4472,                 1.8037,                0.26278,                0.25469,                0.23077,                0.06669,                 2.2183,                 2.5549,                 2.0311,               0.003334,               0.003334,               0.003334
                    104,                 1.8878,                 2.4118,                 1.7682,                0.27438,                0.24063,                0.22971,                0.06964,                 2.2491,                 2.5869,                 2.0721,               0.003268,               0.003268,               0.003268
                    105,                 1.9051,                 2.3739,                 1.7456,                0.36611,                0.28906,                0.24519,                0.07206,                 2.2631,                 2.5285,                 2.0934,               0.003202,               0.003202,               0.003202
                    106,                 1.9296,                 2.2392,                 1.7804,                0.38826,                0.23281,                0.25375,                0.07553,                 2.2456,                 2.5256,                  2.093,               0.003136,               0.003136,               0.003136
                    107,                 1.8006,                 2.1713,                 1.7249,                0.27794,                0.24688,                0.22528,                0.08139,                 2.2261,                  2.529,                 2.0866,                0.00307,                0.00307,                0.00307
                    108,                 1.8787,                 2.4158,                 1.7604,                0.31029,                  0.225,                0.19449,                0.06815,                 2.1745,                 2.6634,                 2.0485,               0.003004,               0.003004,               0.003004
                    109,                 1.9448,                  2.316,                 1.7875,                0.21937,                0.23125,                0.19971,                0.06991,                 2.1992,                 2.5953,                 2.0771,               0.002938,               0.002938,               0.002938
                    110,                  1.853,                 2.3293,                  1.753,                0.26492,                0.22344,                 0.1807,                0.06338,                 2.2216,                 2.6411,                 2.0832,               0.002872,               0.002872,               0.002872
                    111,                 1.8689,                 2.2213,                 1.7671,                0.23067,                0.27187,                 0.1861,                0.06461,                 2.2621,                 2.6596,                 2.0982,               0.002806,               0.002806,               0.002806
                    112,                 1.9353,                 2.2515,                 1.8024,                0.26125,                 0.2375,                0.18456,                 0.0555,                 2.2486,                 2.6197,                 2.0913,                0.00274,                0.00274,                0.00274
                    113,                 1.8135,                 2.2486,                 1.7437,                0.25406,                0.26065,                0.18285,                0.05049,                 2.2783,                 2.6242,                  2.107,               0.002674,               0.002674,               0.002674
                    114,                  1.883,                 2.2093,                 1.7439,                0.27097,                0.33594,                0.20682,                0.05557,                 2.3139,                 2.6376,                 2.1253,               0.002608,               0.002608,               0.002608
                    115,                 1.8207,                 2.3364,                 1.7003,                0.23448,                0.26414,                0.18955,                0.05027,                 2.3256,                 2.6247,                 2.1203,               0.002542,               0.002542,               0.002542
                    116,                 1.8934,                 2.2473,                 1.7622,                0.22451,                0.27813,                0.18521,                0.04776,                 2.3451,                 2.6377,                 2.1397,               0.002476,               0.002476,               0.002476
                    117,                  1.801,                 2.1859,                 1.7042,                 0.2393,                0.30469,                0.17931,                0.04994,                 2.3435,                 2.6502,                 2.1453,                0.00241,                0.00241,                0.00241
                    118,                 1.9044,                 2.3403,                 1.7491,                0.25353,                0.23281,                 0.1851,                0.05843,                 2.2485,                 2.6046,                 2.0675,               0.002344,               0.002344,               0.002344
                    119,                 1.8434,                  2.186,                 1.7328,                0.20591,                0.25625,                0.17995,                0.05419,                  2.225,                 2.6066,                 2.0647,               0.002278,               0.002278,               0.002278
                    120,                 1.8222,                 2.1679,                 1.7264,                0.33902,                0.19062,                0.20417,                0.06109,                 2.2264,                 2.5317,                 2.0708,               0.002212,               0.002212,               0.002212
                    121,                 1.8329,                 2.2205,                 1.7748,                0.25139,                0.21677,                 0.2045,                0.05572,                  2.246,                 2.5046,                 2.0926,               0.002146,               0.002146,               0.002146
                    122,                 1.8057,                 2.0923,                 1.6947,                0.50025,                0.20469,                0.20211,                0.05419,                 2.2533,                 2.5146,                 2.0884,                0.00208,                0.00208,                0.00208
                    123,                 1.8132,                 2.2865,                 1.7039,                0.37692,                0.19687,                0.19911,                0.05648,                 2.2531,                 2.5475,                 2.0716,               0.002014,               0.002014,               0.002014
                    124,                 1.8639,                 2.1385,                 1.7513,                0.54503,                0.16562,                0.19669,                0.05756,                  2.249,                 2.5512,                 2.0623,               0.001948,               0.001948,               0.001948
                    125,                 1.7459,                 2.0166,                  1.635,                0.51899,                0.17344,                0.19481,                0.05469,                 2.2483,                  2.512,                 2.0459,               0.001882,               0.001882,               0.001882
                    126,                 1.7657,                  2.204,                 1.6683,                0.18812,                0.26094,                0.21465,                0.05864,                 2.2709,                 2.5169,                 2.0606,               0.001816,               0.001816,               0.001816
                    127,                 1.8063,                 2.1888,                 1.7157,                0.18041,                0.26673,                0.22213,                0.05856,                 2.2814,                 2.5448,                 2.0689,                0.00175,                0.00175,                0.00175
                    128,                 1.8544,                 2.1128,                 1.7123,                0.18727,                0.31676,                 0.2067,                0.05398,                 2.3238,                 2.5561,                 2.0977,               0.001684,               0.001684,               0.001684
                    129,                 1.6845,                 2.0332,                 1.5969,                0.19135,                0.32812,                0.19285,                0.05304,                 2.3334,                 2.5607,                 2.1066,               0.001618,               0.001618,               0.001618
                    130,                 1.7325,                 2.0172,                 1.6466,                0.16858,                0.36724,                0.18536,                 0.0525,                 2.3189,                 2.5822,                 2.0966,               0.001552,               0.001552,               0.001552
                    131,                 1.7565,                 1.9812,                 1.6709,                0.18305,                0.32656,                0.19912,                0.05457,                 2.2896,                 2.5598,                 2.0784,               0.001486,               0.001486,               0.001486
                    132,                 1.7918,                 2.0241,                 1.6914,                 0.1801,                0.26094,                0.19575,                0.05544,                  2.282,                 2.5629,                 2.0886,                0.00142,                0.00142,                0.00142
                    133,                 1.7544,                 2.0571,                 1.6527,                0.17469,                0.32344,                0.20643,                0.05794,                 2.2832,                 2.5309,                 2.0735,               0.001354,               0.001354,               0.001354
                    134,                 1.8216,                 2.0997,                 1.7053,                0.15985,                0.33281,                0.20201,                0.05653,                  2.273,                 2.5446,                 2.0605,               0.001288,               0.001288,               0.001288
                    135,                 1.7775,                 2.0631,                 1.6927,                0.22631,                0.27656,                0.22893,                0.06393,                 2.2812,                 2.5042,                 2.0457,               0.001222,               0.001222,               0.001222
                    136,                 1.7098,                 2.0542,                  1.626,                 0.1657,                0.34063,                0.20794,                0.06155,                 2.2685,                 2.5039,                 2.0378,               0.001156,               0.001156,               0.001156
                    137,                 1.7057,                 1.9375,                 1.5947,                0.16864,                0.34063,                0.21324,                0.06361,                 2.2661,                 2.5066,                 2.0323,                0.00109,                0.00109,                0.00109
                    138,                 1.7015,                 1.9879,                 1.6074,                0.18158,                  0.275,                0.19904,                0.06157,                 2.2913,                 2.5453,                 2.0687,               0.001024,               0.001024,               0.001024
                    139,                 1.8237,                 2.0815,                 1.6497,                0.19766,                0.25938,                 0.1978,                0.06064,                 2.2938,                  2.588,                 2.0709,               0.000958,               0.000958,               0.000958
                    140,                 1.7641,                 2.0483,                 1.6509,                0.20372,                0.28346,                 0.1875,                0.05695,                 2.3018,                 2.6116,                 2.0785,               0.000892,               0.000892,               0.000892
                    141,                 1.7086,                 2.0867,                 1.6079,                0.22743,                0.26574,                0.19441,                0.05609,                 2.2858,                 2.6263,                  2.067,               0.000826,               0.000826,               0.000826
                    142,                 1.6581,                 2.0108,                 1.6152,                0.20169,                0.24593,                0.18816,                 0.0529,                 2.2996,                 2.6026,                  2.071,                0.00076,                0.00076,                0.00076
                    143,                 1.6473,                 2.0452,                 1.6085,                0.19343,                0.24375,                0.19338,                0.05433,                  2.292,                 2.6016,                 2.0718,               0.000694,               0.000694,               0.000694
                    144,                 1.6824,                 2.0461,                 1.6238,                0.17336,                0.27656,                0.16274,                0.05206,                 2.2935,                 2.5777,                 2.0746,               0.000628,               0.000628,               0.000628
                    145,                 1.6032,                 2.0332,                 1.5799,                0.18656,                0.26875,                0.18446,                0.05332,                 2.3035,                 2.6015,                 2.0804,               0.000562,               0.000562,               0.000562
                    146,                 1.7054,                 1.9694,                 1.5831,                0.18443,                0.25156,                0.18148,                0.05256,                 2.3107,                 2.5886,                 2.0716,               0.000496,               0.000496,               0.000496
                    147,                 1.5804,                 1.9844,                 1.5168,                0.19479,                0.23849,                0.17626,                0.04873,                 2.3338,                 2.6073,                 2.0861,                0.00043,                0.00043,                0.00043
                    148,                 1.6646,                 1.9818,                 1.5916,                0.17291,                0.27656,                 0.1544,                0.04853,                 2.3354,                 2.6242,                 2.0812,               0.000364,               0.000364,               0.000364
                    149,                 1.6715,                 1.9995,                 1.5947,                0.16856,                0.26875,                0.14926,                0.04783,                 2.3254,                 2.6157,                  2.078,               0.000298,               0.000298,               0.000298
                    150,                 1.6227,                 1.9711,                 1.5947,                0.18231,                0.28437,                0.16249,                0.05021,                 2.3318,                  2.615,                 2.0821,               0.000232,               0.000232,               0.000232
